nome	url	http	tipo	tamanho_bytes	lido_em_utc	sha256	url_final
23-ce-ecoc-pagina.html	https://culture.ec.europa.eu/node/1223	200	text/html; charset=utf-8	180979	2026-09-15T11:46:59Z	c24873583a46f0e80f28625335780ec0d8fc375d7e1aa439657f4f3092a1bc59	https://culture.ec.europa.eu/whats-new/news/4-cities-short-listed-for-european-capitals-of-culture-2027-in-portugal
24-ce-ecoc-politica.html	https://culture.ec.europa.eu/policies/culture-in-cities-and-regions/european-capitals-of-culture	200	text/html; charset=utf-8	182921	2026-09-15T11:47:14Z	96fb3afeeb942635fa2b01ef9124e2c8fdea144513331edab75262ffeb71daf9	https://culture.ec.europa.eu/policies/culture-in-cities-and-regions/european-capitals-of-culture
25-ce-liepaja-evora.html	https://culture.ec.europa.eu/policies/culture-in-cities-and-regions/designated-capitals-of-culture/liepaja-and-evora	200	text/html; charset=utf-8	182249	2026-09-15T11:47:45Z	364705366d6f8616f222148fc8f444cc45a03fac34134225e2aad40c2d883371	https://culture.ec.europa.eu/policies/culture-in-cities-and-regions/designated-capitals-of-culture/liepaja-and-evora
26-ce-doc-second-monitoring-report-european-capital-of-culture-2027-portugal.html	https://culture.ec.europa.eu/document/second-monitoring-report-european-capital-of-culture-2027-portugal	200	text/html; charset=utf-8	175387	2026-09-15T11:48:02Z	c1d40ce204d199f44d1a64639ac6622c9bbc1bdfcbb0a10771232745fcef27ee	https://culture.ec.europa.eu/resources/document-library/second-monitoring-report-european-capital-of-culture-2027-portugal
26-ce-doc-first-monitoring-report-european-capital-of-culture-2027-portugal.html	https://culture.ec.europa.eu/document/first-monitoring-report-european-capital-of-culture-2027-portugal	200	text/html; charset=utf-8	175352	2026-09-15T11:48:05Z	76423f91addd0917d8a970891a2be601f423718fc8ad2c6772830d3a4ca91f78	https://culture.ec.europa.eu/resources/document-library/first-monitoring-report-european-capital-of-culture-2027-portugal
27-ce-monitorizacao-2-2025-07.pdf	https://culture.ec.europa.eu/sites/default/files/2025-07/ecoc-2027-portugual-second-monitoring-report-280725.pdf	200	application/pdf	504808	2026-09-15T11:48:28Z	861431b3b5e935f28bf6a3bc60b47307bdbeac571292d05f00defc5b1cd212e0	https://culture.ec.europa.eu/sites/default/files/2025-07/ecoc-2027-portugual-second-monitoring-report-280725.pdf
28-ce-doc-terceira-monitorizacao.html	https://culture.ec.europa.eu/document/third-monitoring-report-european-capital-of-culture-2027-portugal	404	text/html; charset=utf-8	167891	2026-09-15T11:48:29Z	51a42d91294f9cde01f22b7182c9ac9769c252d22548cdd271fbe063a62fda53	https://culture.ec.europa.eu/document/third-monitoring-report-european-capital-of-culture-2027-portugal
50-cme-gop-orcamento-2026.pdf	https://www.cm-evora.pt/wp-content/uploads/2026/01/Grandes-Opcoes-do-Plano-e-Orcamento-2026_.pdf	200	application/pdf	31049815	2026-09-15T11:48:33Z	7cd1e7d0a2c69045e47d7e2285773d4ad6a3a897422e66ee5064fe5bba9fde04	https://www.cm-evora.pt/wp-content/uploads/2026/01/Grandes-Opcoes-do-Plano-e-Orcamento-2026_.pdf
51-cme-pagina-plano-2025.html	https://www.cm-evora.pt/pt/municipe/camara-municipal/plano-e-orcamento/opcoes-do-plano-e-orcamento-2025/	404	text/html; charset=UTF-8	593331	2026-09-15T11:49:58Z	197324ad37298fccf1718ca642abfbfa2c00586cc4cfa97af624df9b4d9b69c3	https://www.cm-evora.pt/municipe/camara-municipal/plano-e-orcamento/opcoes-do-plano-e-orcamento-2025/
52-cme-pagina-anos-anteriores.html	https://www.cm-evora.pt/municipe/camara-municipal/plano-e-orcamento/plano-e-orcamento-anos-anteriores/	200	text/html; charset=UTF-8	1077040	2026-09-15T11:50:00Z	470af008aeec69c59e3a3721bade87551adf7e586f1d912febac4321f3f6d982	https://www.cm-evora.pt/municipe/camara-municipal/plano-e-orcamento/plano-e-orcamento-anos-anteriores/
