ficheiro|url_pedido|url_efetivo|http|bytes|content_type|lido_utc|sha256
50-rpc-calendario-2026.pdf|https://www.cm-evora.pt/wp-content/uploads/2025/12/Edital-calendarizacao-RPC-2026.pdf|https://www.cm-evora.pt/wp-content/uploads/2025/12/Edital-calendarizacao-RPC-2026.pdf|200|185902|application/pdf|2026-09-15T11:49:23Z|0675ccf91e6637132ecd83cc8feb378b3cb23d3bdc11d018063e9c5045450a99
51-ame-calendario-sessoes-2026.pdf|https://www.cm-evora.pt/wp-content/uploads/2025/12/Calendario-Sessoes-2026.pdf|https://www.cm-evora.pt/wp-content/uploads/2025/12/Calendario-Sessoes-2026.pdf|200|140345|application/pdf|2026-09-15T11:49:24Z|ce376f67a94aa7d74ad0c7041959af744249587f63dbbac4c91d99cf1202b521
60-base-robots.txt|https://www.base.gov.pt/robots.txt|https://www.base.gov.pt/robots.txt|404|1245|text/html|2026-09-15T11:52:02Z|dc1d54dab6ec8c00f70137927504e4f222c8395f10760b6beecfcfa94e08249f
61-base-entidade-evora.json|https://www.base.gov.pt/Base4/pt/resultados/?type=entidades&query=texto%3D504828576|https://www.base.gov.pt/Base4/pt/resultados/?type=entidades&query=texto%3D504828576|999|1172|text/html; charset=windows-1252|2026-09-15T11:52:05Z|1de9e9f4a1d740052c5e13ec835ff14bf295eb32adde3fffdaec26dc84949e44
62-base-pesquisa-contratos.html|https://www.base.gov.pt/Base4/pt/pesquisa/?type=contratos|https://www.base.gov.pt/Base4/pt/pesquisa/?type=contratos|999|1172|text/html; charset=windows-1252|2026-09-15T11:52:22Z|1de9e9f4a1d740052c5e13ec835ff14bf295eb32adde3fffdaec26dc84949e44
63-base-home.html|https://www.base.gov.pt/Base4/pt/|https://www.base.gov.pt/Base4/pt/|999|1172|text/html; charset=windows-1252|2026-09-15T11:52:31Z|1de9e9f4a1d740052c5e13ec835ff14bf295eb32adde3fffdaec26dc84949e44
70-dadosgov-busca-contratos.json|https://dados.gov.pt/api/1/datasets/?q=contratos%20publicos&page_size=20|https://dados.gov.pt/api/1/datasets/?q=contratos%20publicos&page_size=20|200|245915|application/json|2026-09-15T11:53:00Z|f248727345ee648a70016201b8e554a0d2deaf851987a17872123101c738c70a
71-dadosgov-base-contratos-2012-2026.json|https://dados.gov.pt/api/1/datasets/66d72d488ca4b7cb2de28712/|https://dados.gov.pt/api/1/datasets/66d72d488ca4b7cb2de28712/|200|45985|application/json|2026-09-15T11:53:14Z|2eb2045e2fb7878da5cb5bf6eb65074b93404685680a98d4c3c289d257aa0c6b
72-impic-base-contratos2026.zip|https://dados.gov.pt/s/resources/contratos-publicos-portal-base-impic-contratos-de-2012-a-2026/20260913-090348-18224380/contratos2026.zip|https://dados.gov.pt/s/resources/contratos-publicos-portal-base-impic-contratos-de-2012-a-2026/20260913-090348-18224380/contratos2026.zip|200|40047831||2026-09-15T11:53:28Z|72675be139205c5f3976339b2a1eddacccdcf8e08ebecbb4ae12e87205d5f370
73-impic-base-contratos2025.zip|https://dados.gov.pt/s/resources/contratos-publicos-portal-base-impic-contratos-de-2012-a-2026/20260913-090403-84351f1f/contratos2025.zip|https://dados.gov.pt/s/resources/contratos-publicos-portal-base-impic-contratos-de-2012-a-2026/20260913-090403-84351f1f/contratos2025.zip|200|55209770||2026-09-15T11:53:36Z|169be1aa98424e62e77c0605e534079f59b6fd20eddb08a73bbb40a7ea023a32
80-cne-autarquicas.html|https://www.cne.pt/content/eleicoes-autarquicas|https://www.cne.pt/content/eleicoes-autarquicas|404|8948|text/html; charset=utf-8|2026-09-15T11:55:58Z|d8c22684a5a695cd9df019f43097c18c20a7370133f627cd6593d7394afa5c80
81-cne-home.html|https://www.cne.pt/|https://www.cne.pt/|200|44186|text/html; charset=utf-8|2026-09-15T11:56:00Z|ca36e5dce5a7c9ed1c4163e1be184154bbf39a344c2d9f6f67a49e7b64d1813f
